"id","tipo","fecha","total","metodoPago","estado","createdAt","updatedAt"
91,feria,2025-05-24 12:19:15.748 -0300,6000.0,efectivo,completada,2025-05-24 12:19:15.748 -0300,2025-05-24 12:19:15.748 -0300
92,feria,2025-05-24 12:28:09.147 -0300,6000.0,mercadopago,completada,2025-05-24 12:28:09.148 -0300,2025-05-24 12:28:09.148 -0300
94,feria,2025-05-24 12:34:24.103 -0300,10000.0,mercadopago,completada,2025-05-24 12:34:24.103 -0300,2025-05-24 12:34:24.103 -0300
93,feria,2025-05-24 12:34:14.674 -0300,6000.0,mercadopago,completada,2025-05-24 12:34:14.674 -0300,2025-05-24 12:49:14.905 -0300
95,feria,2025-05-24 13:03:18.057 -0300,7000.0,mercadopago,completada,2025-05-24 13:03:18.057 -0300,2025-05-24 13:03:18.057 -0300
96,feria,2025-05-24 13:05:49.987 -0300,3500.0,efectivo,completada,2025-05-24 13:05:49.987 -0300,2025-05-24 13:05:49.987 -0300
97,feria,2025-05-24 13:10:05.384 -0300,5000.0,efectivo,completada,2025-05-24 13:10:05.384 -0300,2025-05-24 13:10:05.384 -0300
98,feria,2025-05-24 13:22:58.746 -0300,4500.0,mercadopago,completada,2025-05-24 13:22:58.746 -0300,2025-05-24 13:25:57.572 -0300
99,feria,2025-05-24 13:23:43.086 -0300,6000.0,mercadopago,completada,2025-05-24 13:23:43.086 -0300,2025-05-24 21:50:54.036 -0300
101,pedido,2025-05-26 21:54:05.519 -0300,4500.0,mercadopago,completada,2025-05-26 21:54:05.520 -0300,2025-05-26 21:54:05.520 -0300
102,pedido,2025-05-26 21:54:49.453 -0300,15000.0,mercadopago,completada,2025-05-26 21:54:49.453 -0300,2025-05-26 21:54:49.453 -0300
103,pedido,2025-05-27 09:55:22.019 -0300,3500.0,mercadopago,completada,2025-05-27 09:55:22.019 -0300,2025-05-27 09:55:22.019 -0300
104,pedido,2025-05-27 09:55:37.822 -0300,3500.0,mercadopago,completada,2025-05-27 09:55:37.822 -0300,2025-05-27 09:55:37.822 -0300
105,pedido,2025-05-27 09:55:58.323 -0300,3500.0,mercadopago,completada,2025-05-27 09:55:58.323 -0300,2025-05-27 09:55:58.323 -0300
106,pedido,2025-05-27 09:57:26.056 -0300,3500.0,mercadopago,completada,2025-05-27 09:57:26.056 -0300,2025-05-27 09:57:26.056 -0300
107,pedido,2025-05-28 20:25:57.104 -0300,6000.0,mercadopago,completada,2025-05-28 20:25:57.104 -0300,2025-05-28 20:25:57.104 -0300
108,pedido,2025-05-28 20:26:17.025 -0300,7000.0,mercadopago,completada,2025-05-28 20:26:17.025 -0300,2025-05-28 20:26:17.025 -0300
109,feria,2025-05-31 11:32:57.989 -0300,5000.0,efectivo,completada,2025-05-31 11:32:57.990 -0300,2025-05-31 11:32:57.990 -0300
