"id","nombre","descripcion","peso_gramos","stock","costo_unitario","precio_venta","stock_minimo","createdAt","updatedAt"
87,DonKey,King kong,0.0,1,0.0,6000.0,5,2025-05-16 16:55:54.885 -0300,2025-05-24 12:15:43.404 -0300
100,Llavero juego del calamar ,Llaveros general,0.0,16,0.0,1500.0,5,2025-05-16 17:27:38.285 -0300,2025-05-16 22:47:27.912 -0300
106,stich llavero,stichllavero,0.0,5,0.0,1500.0,5,2025-05-16 17:33:09.262 -0300,2025-05-16 22:48:06.343 -0300
95,Mini unicornio,unicornio,0.0,2,0.0,3500.0,5,2025-05-16 17:07:19.123 -0300,2025-05-16 22:49:03.588 -0300
104,sonny angels capibara,s.a capibara,0.0,2,0.0,3500.0,5,2025-05-16 17:31:14.168 -0300,2025-05-16 22:50:35.412 -0300
74,dragón chino,✓,0.0,1,0.0,6000.0,5,2025-05-16 16:32:08.850 -0300,2025-05-24 12:19:15.747 -0300
128,Elsa,Frozen,0.0,0,0.0,9000.0,5,2025-05-17 12:14:29.426 -0300,2025-05-17 12:14:45.112 -0300
82,Bluey,Azul,0.0,0,0.0,6000.0,5,2025-05-16 16:43:46.457 -0300,2025-05-17 12:52:02.792 -0300
83,Bingo,Color cafe,0.0,1,0.0,6000.0,5,2025-05-16 16:45:20.298 -0300,2025-05-24 10:18:24.474 -0300
43,Creeper,Minecraft,69.0,0,1587.0,6000.0,5,2025-05-16 09:50:39.700 -0300,2025-05-24 13:23:43.085 -0300
107,triceratops hueso ,t hueso dinosaurio ,0.0,2,0.0,6000.0,5,2025-05-16 17:33:48.900 -0300,2025-05-16 22:25:27.807 -0300
109,llavero de grupo sanguineo,tp sangre llavero,0.0,2,0.0,1500.0,5,2025-05-16 17:35:01.337 -0300,2025-05-16 22:45:23.972 -0300
123,Knuckles,Articulado,0.0,0,0.0,15000.0,5,2025-05-17 07:15:24.673 -0300,2025-05-24 11:56:11.666 -0300
50,Sprunki Sky,Celeste,0.0,2,0.0,3500.0,5,2025-05-16 10:14:48.539 -0300,2025-05-27 09:55:37.817 -0300
96,Pulpo,Flexi,0.0,4,0.0,5000.0,5,2025-05-16 17:07:36.381 -0300,2025-05-31 11:32:57.983 -0300
105,capibara corazón llavero,capicorazon,1.0,0,23.0,1500.0,5,2025-05-16 17:31:47.378 -0300,2025-05-31 11:46:11.567 -0300
46,Bulbasaur,pokemon,12.0,1,276.0,3500.0,5,2025-05-16 10:04:31.214 -0300,2025-05-31 12:49:19.780 -0300
49,Sprunki Garnold,Amarillo con Lente,0.0,3,0.0,3500.0,5,2025-05-16 10:14:06.581 -0300,2025-05-31 13:29:17.630 -0300
47,Sprunki Purple,Violeta,0.0,3,0.0,3500.0,5,2025-05-16 10:11:06.117 -0300,2025-05-31 13:29:36.671 -0300
110,Patricio llavero,p.e llavero,0.0,5,0.0,1500.0,5,2025-05-16 17:36:16.956 -0300,2025-05-16 22:47:47.934 -0300
37,Oveja Minecraft,Rosa,69.0,0,1587.0,5000.0,5,2025-05-16 09:47:28.465 -0300,2025-06-07 11:37:53.667 -0300
65,Stormtrooper facha,Facha,0.0,0,0.0,10000.0,5,2025-05-16 10:33:47.432 -0300,2025-06-06 15:46:59.239 -0300
61,Dummy,Dummy,0.0,2,0.0,10000.0,5,2025-05-16 10:27:55.263 -0300,2025-06-07 00:06:26.568 -0300
102,capibara llavero flexible,color crema,0.0,5,0.0,3000.0,5,2025-05-16 17:29:41.274 -0300,2025-06-07 00:36:43.129 -0300
66,Vaso Labubu,Grandes,0.0,2,0.0,15000.0,5,2025-05-16 10:36:38.467 -0300,2025-06-07 11:20:57.495 -0300
44,Chimuelo,Negro,6.0,3,138.0,6000.0,5,2025-05-16 09:57:49.867 -0300,2025-06-07 12:51:26.180 -0300
62,Ballerina Capuccina,Bailarina,0.0,2,0.0,8000.0,5,2025-05-16 10:28:19.644 -0300,2025-06-07 11:56:13.204 -0300
54,Sprunki Clukr,Sobrero marron,0.0,3,0.0,4000.0,5,2025-05-16 10:19:48.321 -0300,2025-06-07 11:54:11.772 -0300
53,Sprunki Tunner,Sobrero marron,0.0,1,0.0,4000.0,5,2025-05-16 10:18:51.476 -0300,2025-06-07 11:56:04.650 -0300
38,Steve,Minecraft,69.0,0,1587.0,7000.0,5,2025-05-16 09:49:15.297 -0300,2025-06-07 12:12:39.295 -0300
58,Pikachu ,Pequeño,7.0,4,161.0,3500.0,5,2025-05-16 10:22:18.648 -0300,2025-06-07 12:13:24.970 -0300
59,Fidget Hexagono,Elipse.. no es pero bueno,0.0,1,0.0,2500.0,5,2025-05-16 10:26:32.940 -0300,2025-06-07 12:30:29.402 -0300
89,Labubu,Azul rosa y marrón ,0.0,4,0.0,6000.0,5,2025-05-16 16:58:45.756 -0300,2025-06-07 12:37:33.015 -0300
90,Fokobot,Robotico,0.0,0,0.0,4000.0,5,2025-05-16 17:00:59.645 -0300,2025-06-07 12:34:59.157 -0300
45,Spiderman Pequeño,Spider,12.0,2,276.0,2500.0,5,2025-05-16 09:59:46.410 -0300,2025-06-07 13:41:07.789 -0300
60,Capuchino Asesino,Capu capu,0.0,0,0.0,8000.0,5,2025-05-16 10:27:31.166 -0300,2025-06-07 20:16:24.889 -0300
136,Melody,Melody,0.0,1,0.0,5000.0,5,2025-05-18 16:06:57.202 -0300,2025-05-18 16:06:57.202 -0300
48,Sprunki Simon,Amarillo con los dos ojos,0.0,2,0.0,3500.0,5,2025-05-16 10:11:52.524 -0300,2025-05-17 10:44:52.015 -0300
